Object                                                                                    Feature                       Support 
(breaker/NNS, 110v/NN)                                                                    adjacent/JJ                   4.20397E-5
(breaker/NNS, 110v/NN)                                                                    two/CD                        4.20397E-5
(brush/NN, mixture/NN)                                                                    cement/NN                     4.20397E-5
(brush/NN, paint/NN)                                                                      quality/NN                    4.20397E-5
(build-up/NN, mold/NN)                                                                    location/NN                   4.20397E-5
(builder/NN, contractor/NN)                                                               one/CD                        4.20397E-5
(building/NN, apartment/NN)                                                               year-old/JJ                   4.20397E-5
(Bureau/NNP, Business/NNP)                                                                Better/NNP                    8.40795E-5
(Bureau/NNP, Business/NNP)                                                                Better/NNP                    8.40795E-5
(burn/NNS, motor/NN)                                                                      fan/NN                        4.20397E-5
(business/NN, software/NN)                                                                computer/NN                   4.20397E-5
(CA/NNP, Carlos/NNP)                                                                      San/NNP                       4.20397E-5
(cabinet/NNS, height/NN)                                                                  standard/JJ                   8.40795E-5
(cabinet/NNS, height/NN)                                                                  standard/JJ                   8.40795E-5
(cabinet/NNS, kitchen/NN)                                                                 standard/JJ                   4.20397E-5
(cable/NN, diameter/NN)                                                                   smaller/JJR                   4.20397E-5
(cable/NN, service/NN)                                                                    supply/NN                     4.20397E-5
(cable/NN, voltage/NN)                                                                    high/JJ                       4.20397E-5
(cable/NN, voltage/NN)                                                                    low/JJ                        4.20397E-5
(cable/NNS, power/NN)                                                                     240v/NN                       4.20397E-5
(capability/NNS, fastening/NN)                                                            decent/JJ                     4.20397E-5
(card/NN, credit/NN)                                                                      new/JJ                        4.20397E-5
(caulk/NN, silicone/NN)                                                                   clear/JJ                      4.20397E-5
(caulk/NN, silicone/NN)                                                                   paintable/JJ                  4.20397E-5
(ceiling/NN, bathroom/NN)                                                                 whole/JJ                      4.20397E-5
(ceiling/NN, drywall/NN)                                                                  smooth/JJ                     4.20397E-5
(ceiling/NN, The/NNP)                                                                     EDIT/NNP                      4.20397E-5
(CFL/NNP, Vs/NNP)                                                                         incandescent/JJ               4.20397E-5
(channel/NNS, wiremold/NN)                                                                big/JJ                        4.20397E-5
(check/NN, leak/NN)                                                                       quick/JJ                      4.20397E-5
(chipboard/NN, storage/NN)                                                                occassional/JJ                4.20397E-5
(circuit/NN, 20amp/NN)                                                                    own/JJ                        4.20397E-5
(circuit/NNS, amp/NN)                                                                     15/CD                         8.40795E-5
(circuit/NNS, amp/NN)                                                                     15/CD                         8.40795E-5
(circuit/NNS, amp/NN)                                                                     20/CD                         8.40795E-5
(circuit/NNS, amp/NN)                                                                     20/CD                         8.40795E-5
(circuit/NNS, amp/NN)                                                                     30/40/60/CD                   4.20397E-5
(circuit/NNS, amp/NN)                                                                     additional/JJ                 4.20397E-5
(circuit/NNS, amp/NN)                                                                     more/JJR                      4.20397E-5
(circulation/NN, air/NN)                                                                  poor/JJ                       4.20397E-5
(clamp/NNS, hose/NN)                                                                      two/CD                        4.20397E-5
(clay/NN, Gloucestershire/NNP)                                                            sticky/JJ                     4.20397E-5
(cleaner/NN, drain/NN)                                                                    diluted/JJ                    4.20397E-5
